date_time,PM10,PM25,CO,NO2,SO2,O3,temp,wind speed,wind dir,Thailand,Myanmar,Cambodia,Vietnam,num_of_factory,lag_1,lag_2,lag_3
2019-06-25 01:00:00,11.0,5.0,0.7,11.0,1.0,12.0,26.7,10,225,0,0,0,0,11,0.0,0.0,0.0
2019-06-25 02:00:00,12.0,6.0,0.7,9.0,0.0,12.0,26.7,10,225,0,0,0,0,11,5.0,0.0,0.0
2019-06-25 03:00:00,12.0,7.0,0.7,10.0,0.0,9.0,26.7,10,225,0,0,0,0,11,6.0,5.0,0.0
2019-06-25 04:00:00,14.0,8.0,0.7,10.0,0.0,8.0,26.6,11,235,0,0,0,0,11,7.0,6.0,5.0
2019-06-25 05:00:00,17.0,8.0,0.7,13.0,1.0,5.0,26.6,11,235,0,0,0,0,11,8.0,7.0,6.0
2019-06-25 06:00:00,22.0,10.0,0.8,12.0,1.0,2.0,26.6,11,235,0,0,0,0,11,8.0,8.0,7.0
2019-06-25 07:00:00,27.0,12.0,0.9,11.0,0.0,2.0,27.3,11,260,0,0,0,0,11,10.0,8.0,8.0
2019-06-25 08:00:00,31.0,14.0,0.9,11.0,1.0,4.0,27.3,11,260,0,0,0,0,11,12.0,10.0,8.0
2019-06-25 09:00:00,34.0,15.0,0.8,12.0,2.0,8.0,27.3,11,260,0,0,0,0,11,14.0,12.0,10.0
2019-06-25 10:00:00,32.0,15.0,0.7,7.0,2.0,18.0,31.4,13,235,0,0,0,0,11,15.0,14.0,12.0
2019-06-25 11:00:00,28.0,13.0,0.7,6.0,2.0,26.0,31.4,13,235,0,0,0,0,11,15.0,15.0,14.0
2019-06-25 12:00:00,22.0,11.0,0.7,5.0,0.0,34.0,31.4,13,235,0,0,0,0,11,13.0,15.0,15.0
2019-06-25 13:00:00,17.0,8.0,0.7,6.0,0.0,46.0,33.7,15,230,0,0,0,0,11,11.0,13.0,15.0
2019-06-25 14:00:00,15.0,7.0,0.7,6.0,0.0,50.0,33.7,15,230,0,0,0,0,11,8.0,11.0,13.0
2019-06-25 15:00:00,14.0,8.0,0.7,5.0,0.0,47.0,33.7,15,230,0,0,0,0,11,7.0,8.0,11.0
2019-06-25 16:00:00,14.0,7.0,0.7,7.0,0.0,44.0,33.2,19,250,0,0,0,0,11,8.0,7.0,8.0
2019-06-25 17:00:00,17.0,8.0,0.7,7.0,0.0,23.0,33.2,19,250,0,0,0,0,11,7.0,8.0,7.0
2019-06-25 18:00:00,18.0,9.0,0.7,9.0,0.0,17.0,33.2,19,250,0,0,0,0,11,8.0,7.0,8.0
2019-06-25 19:00:00,14.0,6.0,0.7,10.0,0.0,14.0,28.9,21,260,0,0,0,0,11,9.0,8.0,7.0
2019-06-25 20:00:00,10.0,4.0,0.8,16.0,0.0,7.0,28.9,21,260,0,0,0,0,11,6.0,9.0,8.0
2019-06-25 21:00:00,9.0,4.0,0.8,11.0,0.0,7.0,28.9,21,260,0,0,0,0,11,4.0,6.0,9.0
2019-06-25 22:00:00,12.0,4.0,0.8,11.0,0.0,7.0,28.0,27,260,0,0,0,0,11,4.0,4.0,6.0
2019-06-25 23:00:00,15.0,4.0,0.8,11.0,0.0,4.0,28.0,27,260,0,0,0,0,11,4.0,4.0,4.0
2019-06-26 00:00:00,16.0,5.0,0.7,8.0,0.0,5.0,28.0,27,260,1,0,10,6,11,4.0,4.0,4.0
2019-06-26 01:00:00,15.0,5.0,0.8,8.0,0.0,4.0,27.2,32,235,1,0,10,6,11,5.0,4.0,4.0
2019-06-26 02:00:00,15.0,0.0,0.7,10.0,0.0,1.0,27.2,32,235,1,0,10,6,11,5.0,5.0,4.0
2019-06-26 03:00:00,15.0,0.0,0.7,10.0,1.0,1.0,27.2,32,235,1,0,10,6,11,0.0,5.0,5.0
2019-06-26 04:00:00,18.0,4.0,0.8,12.0,2.0,0.0,26.5,38,240,1,0,10,6,11,0.0,0.0,5.0
2019-06-26 05:00:00,28.0,10.0,0.8,13.0,4.0,0.0,26.5,38,240,1,0,10,6,11,4.0,0.0,0.0
2019-06-26 06:00:00,29.0,12.0,0.8,12.0,1.0,0.0,26.5,38,240,1,0,10,6,11,10.0,4.0,0.0
2019-06-26 07:00:00,31.0,14.0,1.0,12.0,2.0,2.0,27.3,32,255,1,0,10,6,11,12.0,10.0,4.0
2019-06-26 08:00:00,33.0,16.0,0.9,11.0,3.0,5.0,27.3,32,255,1,0,10,6,11,14.0,12.0,10.0
2019-06-26 09:00:00,33.0,15.0,0.8,8.0,2.0,12.0,27.3,32,255,1,0,10,6,11,16.0,14.0,12.0
2019-06-26 10:00:00,27.0,11.0,0.7,6.0,0.0,19.0,31.1,32,255,1,0,10,6,11,15.0,16.0,14.0
2019-06-26 11:00:00,21.0,8.0,0.7,6.0,3.0,25.0,31.1,32,255,1,0,10,6,11,11.0,15.0,16.0
2019-06-26 12:00:00,18.0,6.0,0.7,4.0,1.0,32.0,31.1,32,255,1,0,10,6,11,8.0,11.0,15.0
2019-06-26 13:00:00,15.0,5.0,0.7,4.0,0.0,35.0,33.2,29,265,1,0,10,6,11,6.0,8.0,11.0
2019-06-26 14:00:00,13.0,4.0,0.7,5.0,0.0,37.0,33.2,29,265,1,0,10,6,11,5.0,6.0,8.0
2019-06-26 15:00:00,12.0,4.0,0.7,5.0,0.0,36.0,33.2,29,265,1,0,10,6,11,4.0,5.0,6.0
2019-06-26 16:00:00,12.0,5.0,0.7,5.0,0.0,32.0,32.5,31,255,1,0,10,6,11,4.0,4.0,5.0
2019-06-26 17:00:00,10.0,4.0,0.7,6.0,0.0,32.0,32.5,31,255,1,0,10,6,11,5.0,4.0,4.0
