date_time,PM25,PM10,wind speed,wind dir,Thailand,Myanmar,Cambodia,Vietnam,num_of_factory,lag_1,lag_2,lag_3
2019-01-01 01:00:00,32.0,40.0,11,25,100,71,165,0,-3,0.0,0.0,0.0
2019-01-01 02:00:00,44.0,56.5,11,25,100,71,165,0,-3,32.0,0.0,0.0
2019-01-01 03:00:00,28.0,41.5,11,25,100,71,165,0,-3,44.0,32.0,0.0
2019-01-01 04:00:00,27.0,38.0,17,25,100,71,165,0,-3,28.0,44.0,32.0
2019-01-01 05:00:00,22.0,29.5,17,25,100,71,165,0,-3,27.0,28.0,44.0
2019-01-01 06:00:00,16.0,25.5,17,25,100,71,165,0,-3,22.0,27.0,28.0
2019-01-01 07:00:00,24.0,27.0,22,25,100,71,165,0,-3,16.0,22.0,27.0
2019-01-01 08:00:00,19.0,23.0,22,25,100,71,165,0,-3,24.0,16.0,22.0
2019-01-01 09:00:00,8.0,16.0,22,25,100,71,165,0,-3,19.0,24.0,16.0
2019-01-01 10:00:00,21.0,26.5,27,30,100,71,165,0,-3,8.0,19.0,24.0
2019-01-01 11:00:00,23.0,32.0,27,30,100,71,165,0,-3,21.0,8.0,19.0
2019-01-01 12:00:00,14.0,38.5,27,30,100,71,165,0,-3,23.0,21.0,8.0
2019-01-01 13:00:00,11.0,38.0,25,30,100,71,165,0,-3,14.0,23.0,21.0
2019-01-01 14:00:00,11.0,41.0,25,30,100,71,165,0,-3,11.0,14.0,23.0
2019-01-01 15:00:00,21.0,65.0,25,30,100,71,165,0,-3,11.0,11.0,14.0
2019-01-01 16:00:00,13.0,32.5,23,40,100,71,165,0,-3,21.0,11.0,11.0
2019-01-01 17:00:00,18.0,28.5,23,40,100,71,165,0,-3,13.0,21.0,11.0
2019-01-01 18:00:00,14.0,24.0,23,40,100,71,165,0,-3,18.0,13.0,21.0
2019-01-01 19:00:00,17.0,19.0,27,35,100,71,165,0,-3,14.0,18.0,13.0
2019-01-01 20:00:00,18.0,24.0,27,35,100,71,165,0,-3,17.0,14.0,18.0
2019-01-01 21:00:00,39.0,37.5,27,35,100,71,165,0,-3,18.0,17.0,14.0
2019-01-01 22:00:00,34.0,42.5,29,40,100,71,165,0,-3,39.0,18.0,17.0
2019-01-01 23:00:00,33.0,39.0,29,40,100,71,165,0,-3,34.0,39.0,18.0
2019-01-02 00:00:00,33.0,43.0,29,40,189,48,98,0,-3,33.0,34.0,39.0
2019-01-02 01:00:00,40.0,62.5,28,40,189,48,98,0,-3,33.0,33.0,34.0
2019-01-02 02:00:00,36.0,41.0,28,40,189,48,98,0,-3,40.0,33.0,33.0
2019-01-02 03:00:00,30.0,36.5,28,40,189,48,98,0,-3,36.0,40.0,33.0
2019-01-02 04:00:00,23.0,37.5,30,35,189,48,98,0,-3,30.0,36.0,40.0
2019-01-02 05:00:00,20.0,30.0,30,35,189,48,98,0,-3,23.0,30.0,36.0
2019-01-02 06:00:00,22.0,29.5,30,35,189,48,98,0,-3,20.0,23.0,30.0
2019-01-02 07:00:00,19.0,25.5,30,30,189,48,98,0,-3,22.0,20.0,23.0
