date_time,PM25,wind_speed,wind_dir,Thailand,Myanmar,Cambodia,Vietnam,lag_1,lag_2,lag_3
2018-10-17 00:00:00,12.0,21,215,14,0,0,5,0.0,0.0,0.0
2018-10-17 01:00:00,12.0,21,215,14,0,0,5,12.0,0.0,0.0
2018-10-17 02:00:00,11.0,21,215,14,0,0,5,12.0,12.0,0.0
2018-10-17 03:00:00,12.0,21,215,14,0,0,5,11.0,12.0,12.0
2018-10-17 04:00:00,14.0,17,220,14,0,0,5,12.0,11.0,12.0
2018-10-17 05:00:00,18.0,17,220,14,0,0,5,14.0,12.0,11.0
2018-10-17 06:00:00,21.0,17,220,14,0,0,5,18.0,14.0,12.0
2018-10-17 07:00:00,22.0,11,215,14,0,0,5,21.0,18.0,14.0
2018-10-17 08:00:00,21.0,11,215,14,0,0,5,22.0,21.0,18.0
2018-10-17 09:00:00,20.0,11,215,14,0,0,5,21.0,22.0,21.0
2018-10-17 10:00:00,27.0,11,225,14,0,0,5,20.0,21.0,22.0
2018-10-17 11:00:00,28.0,11,225,14,0,0,5,27.0,20.0,21.0
2018-10-17 12:00:00,21.0,11,225,14,0,0,5,28.0,27.0,20.0
2018-10-17 13:00:00,16.0,9,235,14,0,0,5,21.0,28.0,27.0
2018-10-17 14:00:00,11.0,9,235,14,0,0,5,16.0,21.0,28.0
2018-10-17 15:00:00,11.0,9,235,14,0,0,5,11.0,16.0,21.0
2018-10-17 16:00:00,13.0,8,230,14,0,0,5,11.0,11.0,16.0
2018-10-17 17:00:00,19.0,8,230,14,0,0,5,13.0,11.0,11.0
2018-10-17 18:00:00,23.0,8,230,14,0,0,5,19.0,13.0,11.0
2018-10-17 19:00:00,28.0,3,245,14,0,0,5,23.0,19.0,13.0
2018-10-17 20:00:00,34.0,3,245,14,0,0,5,28.0,23.0,19.0
2018-10-17 21:00:00,35.0,3,245,14,0,0,5,34.0,28.0,23.0
2018-10-17 22:00:00,32.0,10,290,14,0,0,5,35.0,34.0,28.0
2018-10-17 23:00:00,27.0,10,290,14,0,0,5,32.0,35.0,34.0
2018-10-18 00:00:00,24.0,10,290,1,3,0,23,27.0,32.0,35.0
2018-10-18 01:00:00,23.0,5,285,1,3,0,23,24.0,27.0,32.0
2018-10-18 02:00:00,26.0,5,285,1,3,0,23,23.0,24.0,27.0
2018-10-18 03:00:00,22.0,5,285,1,3,0,23,26.0,23.0,24.0
2018-10-18 04:00:00,22.0,5,265,1,3,0,23,22.0,26.0,23.0
2018-10-18 05:00:00,21.0,5,265,1,3,0,23,22.0,22.0,26.0
2018-10-18 06:00:00,17.0,5,265,1,3,0,23,21.0,22.0,22.0
2018-10-18 07:00:00,16.0,9,290,1,3,0,23,17.0,21.0,22.0
2018-10-18 08:00:00,15.0,9,290,1,3,0,23,16.0,17.0,21.0
2018-10-18 09:00:00,14.0,9,290,1,3,0,23,15.0,16.0,17.0
2018-10-18 10:00:00,12.0,9,310,1,3,0,23,14.0,15.0,16.0
2018-10-18 11:00:00,13.0,9,310,1,3,0,23,12.0,14.0,15.0
2018-10-18 12:00:00,16.0,9,310,1,3,0,23,13.0,12.0,14.0
2018-10-18 13:00:00,16.0,1,280,1,3,0,23,16.0,13.0,12.0
2018-10-18 14:00:00,14.0,1,280,1,3,0,23,16.0,16.0,13.0
2018-10-18 15:00:00,12.0,1,280,1,3,0,23,14.0,16.0,16.0
2018-10-18 16:00:00,11.0,4,220,1,3,0,23,12.0,14.0,16.0
2018-10-18 17:00:00,15.0,4,220,1,3,0,23,11.0,12.0,14.0
2018-10-18 18:00:00,20.0,4,220,1,3,0,23,15.0,11.0,12.0
2018-10-18 19:00:00,26.0,6,200,1,3,0,23,20.0,15.0,11.0
2018-10-18 20:00:00,32.0,6,200,1,3,0,23,26.0,20.0,15.0
2018-10-18 21:00:00,33.0,6,200,1,3,0,23,32.0,26.0,20.0
2018-10-18 22:00:00,32.0,8,275,1,3,0,23,33.0,32.0,26.0
2018-10-18 23:00:00,32.0,8,275,1,3,0,23,32.0,33.0,32.0
2018-10-19 00:00:00,31.0,8,275,0,0,0,2,32.0,32.0,33.0
2018-10-19 01:00:00,31.0,4,25,0,0,0,2,31.0,32.0,32.0
2018-10-19 02:00:00,34.0,4,25,0,0,0,2,31.0,31.0,32.0
2018-10-19 03:00:00,34.0,4,25,0,0,0,2,34.0,31.0,31.0
2018-10-19 04:00:00,31.0,8,35,0,0,0,2,34.0,34.0,31.0
2018-10-19 05:00:00,23.0,8,35,0,0,0,2,31.0,34.0,34.0
2018-10-19 06:00:00,15.0,8,35,0,0,0,2,23.0,31.0,34.0
2018-10-19 07:00:00,13.0,12,45,0,0,0,2,15.0,23.0,31.0
2018-10-19 08:00:00,14.0,12,45,0,0,0,2,13.0,15.0,23.0
