date_time,NO2,SO2,PM10,PM25,temp,wind speed,wind dir,Thailand,Cambodia,num_of_factory,lag_1,lag_2,lag_3
2018-01-01 00:00:00,11,2,55,28,25.5,20,95,55,122,-12,0,0,0
2018-01-01 01:00:00,6,3,33,13,25.5,20,95,55,122,-12,28,0,0
2018-01-01 02:00:00,5,2,41,18,25.5,20,95,55,122,-12,13,28,0
2018-01-01 03:00:00,5,1,27,14,25.5,20,95,55,122,-12,18,13,28
2018-01-01 04:00:00,6,2,29,21,24.1,19,90,55,122,-12,14,18,13
2018-01-01 05:00:00,8,2,34,20,24.1,19,90,55,122,-12,21,14,18
2018-01-01 06:00:00,9,2,34,23,24.1,19,90,55,122,-12,20,21,14
2018-01-01 07:00:00,9,2,31,20,22.9,16,75,55,122,-12,23,20,21
2018-01-01 08:00:00,9,3,29,19,22.9,16,75,55,122,-12,20,23,20
2018-01-01 09:00:00,11,4,35,17,22.9,16,75,55,122,-12,19,20,23
2018-01-01 10:00:00,8,3,35,18,26.4,16,75,55,122,-12,17,19,20
2018-01-01 11:00:00,6,3,30,20,26.4,16,75,55,122,-12,18,17,19
2018-01-01 12:00:00,6,4,29,19,26.4,16,75,55,122,-12,20,18,17
2018-01-01 13:00:00,5,2,32,18,30.6,15,80,55,122,-12,19,20,18
2018-01-01 14:00:00,5,2,29,22,30.6,15,80,55,122,-12,18,19,20
2018-01-01 15:00:00,5,2,36,24,30.6,15,80,55,122,-12,22,18,19
2018-01-01 16:00:00,5,3,43,24,31.7,16,60,55,122,-12,24,22,18
2018-01-01 17:00:00,5,3,35,23,31.7,16,60,55,122,-12,24,24,22
2018-01-01 18:00:00,6,3,44,31,31.7,16,60,55,122,-12,23,24,24
2018-01-01 19:00:00,9,3,46,29,28.4,17,40,55,122,-12,31,23,24
2018-01-01 20:00:00,12,4,53,34,28.4,17,40,55,122,-12,29,31,23
2018-01-01 21:00:00,14,3,62,43,28.4,17,40,55,122,-12,34,29,31
2018-01-01 22:00:00,17,3,55,39,26.7,12,55,55,122,-12,43,34,29
2018-01-01 23:00:00,21,4,62,39,26.7,12,55,55,122,-12,39,43,34
2018-01-02 00:00:00,19,3,65,42,26.7,12,55,92,255,-12,39,39,43
2018-01-02 01:00:00,13,2,56,38,25.4,21,80,92,255,-12,42,39,39
2018-01-02 02:00:00,10,3,53,30,25.4,21,80,92,255,-12,38,42,39
2018-01-02 03:00:00,8,3,51,33,25.4,21,80,92,255,-12,30,38,42
2018-01-02 04:00:00,8,3,56,36,24.2,22,85,92,255,-12,33,30,38
2018-01-02 05:00:00,10,4,53,37,24.2,22,85,92,255,-12,36,33,30
2018-01-02 06:00:00,10,4,49,34,24.2,22,85,92,255,-12,37,36,33
2018-01-02 07:00:00,12,5,54,37,23.6,23,80,92,255,-12,34,37,36
2018-01-02 08:00:00,11,5,46,32,23.6,23,80,92,255,-12,37,34,37
2018-01-02 09:00:00,9,4,48,38,23.6,23,80,92,255,-12,32,37,34
2018-01-02 10:00:00,9,5,46,29,27,20,85,92,255,-12,38,32,37
2018-01-02 11:00:00,9,4,48,31,27,20,85,92,255,-12,29,38,32
2018-01-02 12:00:00,9,3,41,25,27,20,85,92,255,-12,31,29,38
2018-01-02 13:00:00,8,4,42,26,30.4,16,80,92,255,-12,25,31,29
2018-01-02 14:00:00,7,3,42,28,30.4,16,80,92,255,-12,26,25,31
